s_county,combined_key,fips,population,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,rural_pct,popdensity,housedensity,km_from_equator,poor_or_fair_health,adult_smoking,adult_obesity,percent_uninsured,social_association_rate,air_quality_avg_pm,percent_diabetic,percent_insufficient_sleep,percent_uninsured_adults,percent_uninsured_children,icubeds
Alabama_Autauga,"Autauga, Alabama, US",1001,55869,75.683479,18.370907,2.5722537,24.316519,1.8383622,51.176224,40.03706,13.978456,53099,5.5916572,12.417046,75.407227,42.002163,1147,4640,3611.0784,18.411125,19.124659,37.5,8.5009661,12.631731,11.7,14.2,35.905407,10.961103,2.4761906,6
Alabama_Baldwin,"Baldwin, Alabama, US",1003,223234,83.178787,9.2256031,4.3666983,16.821213,3.2695103,51.194927,35.474411,18.714851,51365,6.2868433,9.9724178,70.452888,42.279099,17347,3648,3403.1731,18.060457,16.795485,31,10.699288,10.692213,10.3,11.3,33.305866,13.570311,3.2380266,51
Alabama_Barbour,"Barbour, Alabama, US",1005,24686,45.885624,47.888329,4.309762,54.114376,2.8593974,46.498085,37.664387,16.528894,33956,12.824739,26.235928,87.13221,67.789635,122,1269,3537.5981,25.773417,21.540878,44.299999,12.513197,8.4729443,11.5,18,38.563168,16.54224,2.9014237,5
Alabama_Bibb,"Bibb, Alabama, US",1007,22394,74.765198,21.212122,2.2239943,25.234804,1.3512316,46.464645,37.329433,14.885699,39776,7.1468267,19.301588,88,68.352608,13561,892,3664.7642,19.996912,19.916405,37.799999,9.6800756,10.157664,11.2,14.9,38.148865,12.297319,2.6194468,0
Alabama_Blount,"Blount, Alabama, US",1009,57826,87.6577,1.557951,8.7272978,12.342299,4.271801,50.485233,37.240051,17.192915,46212,5.9538326,19.968586,86.950241,89.9515,13977,2458,3771.4868,21.095324,19.652159,34.400002,12.114004,9.011507,11.7,14.3,35.945011,15.564604,3.4301362,6
Alabama_Bullock,"Bullock, Alabama, US",1011,10101,21.683094,75.502274,.1231994,78.31691,1.5163002,45.801743,37.935936,15.134572,29335,13.25852,33.437885,89.744987,51.374382,5613,5235,3563.2952,29.407713,23.478291,39.400002,13.206484,9.6506462,11.2,20,45.020638,17.67181,2.7890239,0
Alabama_Butler,"Butler, Alabama, US",1013,19448,52.781067,43.515778,1.2475345,47.218933,1.3954635,53.047337,37.056213,18.126232,34315,9.8048277,18.940426,83.919991,71.232155,8523,6776,3524.4351,26.502613,22.197655,40.200001,10.667085,11.50115,10.6,17.9,41.911083,13.982828,2.4958403,7
Alabama_Calhoun,"Calhoun, Alabama, US",1015,113605,72.997765,20.331715,3.4362245,27.002235,2.3937938,51.898037,38.783081,15.930723,41954,11.681822,17.663137,82.347031,33.696827,10256,1486,3748.5273,19.584702,20.462233,37.099998,11.198206,14.309272,11.8,16.200001,41.314342,14.431316,2.3045235,24
Alabama_Chambers,"Chambers, Alabama, US",1017,33254,56.743488,40.478569,.43506378,43.256512,.99065202,52.087132,35.872185,18.387325,36027,7.4899454,19.736732,87.515724,49.148033,14444,6835,3653.6208,25.219835,22.040369,40.299999,10.656983,17.728924,11.4,17,37.266575,13.522138,2.4853203,0
Alabama_Cherokee,"Cherokee, Alabama, US",1019,26196,91.871643,4.6067114,1.5638877,8.128355,.7259528,50.252926,32.710354,20.322817,38925,5.855731,18.717236,86.0383,85.736275,10778,7515,3781.7161,19.291594,19.144852,36.299999,11.895425,10.1069,11.4,13.5,35.355072,14.939209,2.9816947,0
